QueryId PrecisionAt5 PrecisionAt20 AveragePrecision ReciprocalRank
1 0.0 0.0 0.03527163527163527 0.02702702702702703
2 0.2 0.05 0.12113997113997114 0.2
3 0.0 0.0 0.01950757575757576 0.01818181818181818
4 0.2 0.1 0.2544642857142857 0.5
5 0.2 0.15 0.25876524390243905 0.5
6 0.0 0.1 0.13888888888888887 0.125
7 0.2 0.3 0.2857193102479754 1.0
8 0.2 0.05 0.12941176470588237 0.2
9 0.2 0.2 0.23350945576555335 0.5
10 0.2 0.45 0.38323770992656697 0.3333333333333333
11 0.6 0.35 0.3343486562081682 0.3333333333333333
12 0.4 0.1 0.29058441558441556 0.5
13 0.4 0.2 0.33919254658385095 0.25
14 0.4 0.3 0.34021949281824776 1.0
15 0.2 0.15 0.2371850371850372 0.5
16 0.2 0.05 0.11297880173946792 0.3333333333333333
17 0.2 0.15 0.1361729540300969 0.2
18 0.0 0.1 0.15476190476190477 0.14285714285714285
19 0.4 0.2 0.3981413417949261 1.0
20 0.0 0.05 0.07478632478632478 0.125
21 0.2 0.05 0.11789593984915692 0.25
22 1.0 0.55 0.7848243654493655 1.0
23 0.6 0.2 0.5666666666666667 0.5
24 0.4 0.1 0.5301136363636364 1.0
25 0.6 0.3 0.4372345002814123 1.0
26 0.0 0.1 0.13422283498881565 0.14285714285714285
27 0.6 0.4 0.4099415965546432 0.5
28 0.6 0.2 0.6458333333333333 0.5
29 0.8 0.45 0.6598912052859421 1.0
30 0.2 0.05 0.13970588235294118 0.25
31 0.2 0.1 0.5714285714285714 1.0
32 0.2 0.05 0.12083333333333333 0.2
33 0.0 0.05 0.14285714285714285 0.14285714285714285
36 0.4 0.2 0.31180667137281176 1.0
37 0.4 0.2 0.7083333333333334 1.0
38 0.6 0.25 0.35612299054922003 0.5
39 0.2 0.2 0.27876118644952497 1.0
40 0.0 0.15 0.1452836137428968 0.125
42 0.4 0.15 0.2306669460157832 0.3333333333333333
43 0.4 0.15 0.2538724384187313 1.0
44 0.2 0.1 0.42962962962962964 1.0
45 0.2 0.3 0.28384436152111425 0.3333333333333333
48 0.2 0.2 0.33537607722390333 1.0
49 0.0 0.0 0.026134961958716747 0.019230769230769232
57 0.2 0.05 0.25 0.25
58 0.6 0.35 0.36656387160390574 1.0
59 0.4 0.35 0.33452533075221 0.5
60 0.4 0.3 0.34088952186888516 1.0
61 0.6 0.5 0.5229376441694467 1.0
62 0.0 0.05 0.06805417560506373 0.05
63 0.4 0.25 0.23912399372670265 0.3333333333333333
64 0.0 0.05 0.16666666666666666 0.16666666666666666
