QueryId PrecisionAt5 PrecisionAt20 AveragePrecision ReciprocalRank
1 0.4 0.15 0.5931818181818181 1.0
2 0.6 0.15 1.0 1.0
3 0.0 0.15 0.15048840048840048 0.08333333333333333
4 0.4 0.2 0.4219119226638023 1.0
5 0.4 0.2 0.40477156626819033 1.0
6 0.2 0.15 0.48739495798319327 1.0
7 1.0 0.6 0.6883977010601496 1.0
8 0.4 0.15 0.6081871345029239 1.0
9 0.4 0.35 0.4056156806156806 0.3333333333333333
10 0.6 0.6 0.6190065700161772 1.0
11 0.6 0.3 0.4806731122518247 1.0
12 0.4 0.15 0.5707236842105263 1.0
13 0.6 0.3 0.5022874495634109 1.0
14 0.8 0.75 0.7185054708492613 0.5
15 0.4 0.1 0.23005212959030005 0.5
16 0.4 0.25 0.23663659736830464 0.3333333333333333
17 0.4 0.2 0.34565240523887136 1.0
18 0.4 0.3 0.35316684614930227 0.5
19 0.8 0.35 0.7095082477435418 1.0
20 0.6 0.15 0.8666666666666667 1.0
21 0.4 0.2 0.3562892054729886 1.0
22 0.6 0.65 0.6226968009961941 1.0
23 0.6 0.15 0.649621212121212 1.0
24 0.4 0.15 0.3904761904761904 0.5
25 0.6 0.4 0.4409467300978624 1.0
26 0.2 0.3 0.28185674679016465 0.2
27 0.4 0.45 0.47247047567888806 1.0
28 0.6 0.2 0.7784090909090909 1.0
29 1.0 0.5 0.8926846100759144 1.0
30 0.4 0.15 0.35374149659863946 0.5
31 0.2 0.05 0.5357142857142857 1.0
32 0.4 0.1 1.0 1.0
33 0.2 0.05 0.2 0.2
36 0.6 0.6 0.5510520968800736 1.0
37 0.4 0.15 0.40477669049097614 1.0
38 0.8 0.45 0.5916937229437229 0.5
39 0.2 0.25 0.32850012264277345 1.0
40 0.6 0.35 0.6264780420694399 1.0
42 0.4 0.3 0.4071851664901169 1.0
43 1.0 0.45 0.5959513376694392 1.0
44 0.8 0.3 0.8722222222222221 1.0
45 0.8 0.4 0.489657465457343 1.0
48 0.6 0.35 0.41050667741844205 0.5
49 0.4 0.1 0.4361929957168052 1.0
57 0.2 0.05 1.0 1.0
58 0.6 0.55 0.616057245778608 1.0
59 0.6 0.6 0.5796996796537898 1.0
60 0.8 0.55 0.6357664757226441 1.0
61 1.0 0.55 0.6321495335198074 1.0
62 0.4 0.15 0.29543471288612544 0.5
63 0.8 0.35 0.6073107947893539 1.0
64 0.2 0.05 1.0 1.0
